x,y,r1r2 ZNCC,r2_x,r2_y,ref_x,ref_y,ref_z
1420,250,0.99454886,1408.931641,194.6571045,14.56492138,-39.71226501,636.7051392
1425,250,0.99151021,1415.226685,195.0208588,14.85770798,-39.6920929,636.4563599
1430,250,0.99268037,1419.725098,195.056488,15.1563406,-39.69796753,636.4759522
1435,250,0.99201858,1423.37146,195.2148132,15.458251,-39.70799637,636.62323
1440,250,0.98689735,1426.984619,195.4251099,15.76046562,-39.71677017,636.7751465
1445,250,0.98758107,1430.356079,195.61763,16.06370354,-39.72826767,636.9633179
1450,250,0.98800623,1433.653198,195.8149567,16.36741447,-39.74030685,637.1626587
1455,250,0.99328464,1437.003784,195.9946442,16.67111588,-39.75236511,637.3537598
1460,250,0.99271703,1440.318359,196.1339264,16.97507858,-39.76596069,637.550415
1465,250,0.99317425,1443.714722,196.1835938,17.27879524,-39.78144455,637.7345581
1470,250,0.99221259,1447.096436,196.3222656,17.58281326,-39.79442215,637.9207764
1475,250,0.98883593,1450.520996,196.5691376,17.88695145,-39.80380249,638.100647
1480,250,0.99129981,1453.785645,196.8658905,18.19200134,-39.8131485,638.3048096
1485,250,0.99007833,1457.229858,197.0114746,18.49627876,-39.82532883,638.4813232
1490,250,0.2176258,1460.621582,195.1834412,18.79908943,-39.89668274,638.664917
1495,250,0.90667504,1333.56604,193.2026367,19.71023178,-41.21403122,659.1628418
1500,250,0.98637235,1467.37146,197.3887329,19.41096497,-39.86539841,639.0401001
1505,250,0.99120861,1470.724854,197.6525574,19.71644783,-39.87486649,639.2302856
1510,250,0.76087528,1471.978882,195.603714,20.0299263,-39.97267151,639.7376099
1515,250,0.43888003,1501.141113,197.5657501,20.21353531,-39.69405365,636.0327148
1520,250,0.03513902,1508.695923,194.9101868,20.49464417,-39.75143433,635.5878906
1525,250,0.55844152,1469.223877,199.3376465,21.01525307,-40.03238678,642.2645874
1530,250,0.67906141,1477.899414,194.3518372,21.2906456,-40.14938354,641.6397705
1535,250,0.52751076,1482.35791,193.5704804,21.59121704,-40.17990112,641.661438
1540,250,0.51810503,1485.193481,194.7423248,21.90221405,-40.16714859,641.9321289
1545,250,0.19230402,1494.851074,195.7737732,22.17718315,-40.09486389,641.1602173
1550,250,0.93174535,1498.698364,198.724762,22.4844017,-40.01937485,641.2765503
1555,250,0.96786058,1502.94397,199.6175995,22.78753471,-40.00167084,641.3304443
1560,250,0.98678243,1508.69812,199.4658508,23.08145142,-40.00117874,641.1532593
1565,250,0.99804568,1513.778687,199.6353912,23.37926865,-39.99731827,641.0787964
1570,250,0.99782336,1518.857544,199.8452301,23.67702675,-39.99225616,641.0044556
1575,250,0.99834669,1523.926392,200.0387573,23.97476387,-39.98773956,640.9312134
1580,250,0.99859595,1528.995239,200.2028656,24.27234268,-39.98409653,640.8577271
1585,250,0.99850118,1534.078735,200.4432526,24.56988144,-39.97801971,640.7818604
1590,250,0.99871516,1539.15271,200.6696777,24.8673954,-39.97242737,640.7072144
1595,250,0.99830562,1544.166382,200.8140259,25.16509628,-39.96983337,640.6414185
1600,250,0.99833637,1549.266479,201.0294647,25.4622364,-39.96428299,640.5619507
1605,250,0.99857652,1554.364502,201.2638092,25.75930786,-39.9581604,640.482666
1610,250,0.99859565,1559.43689,201.4454804,26.056427,-39.95384979,640.4071655
1615,250,0.99822497,1564.456055,201.614975,26.35380554,-39.95037079,640.3392944
1620,250,0.99827415,1569.497314,201.8629761,26.65102005,-39.94431686,640.2680054
1625,250,0.99813288,1574.544312,202.0687408,26.94810295,-39.9394722,640.1954956
1630,250,0.99822146,1579.595581,202.2298126,27.24499321,-39.93588638,640.1219482
1635,250,0.99850559,1584.629028,202.4083252,27.54199982,-39.93193436,640.0510254
1640,250,0.99829203,1589.696655,202.6474609,27.83868408,-39.92581558,639.9743042
1645,250,0.99831343,1594.765869,202.8542786,28.13526535,-39.92064667,639.8972778
1650,250,0.99812424,1599.790771,203.0493927,28.43206024,-39.91621017,639.8267212
1655,250,0.99764383,1604.770996,203.220047,28.72909355,-39.91293335,639.7629395
1660,250,0.99784434,1609.837769,203.3905487,29.02541924,-39.90881348,639.6853638
1665,250,0.99800336,1614.942627,203.5966797,29.32139969,-39.90324402,639.6018066
1670,250,0.99807853,1619.947144,203.7721863,29.61799812,-39.89952469,639.5333252
1675,250,0.99768758,1624.963989,203.9902344,29.91454124,-39.89440536,639.4628296
1680,250,0.99773788,1629.961182,204.1984863,30.2110424,-39.88971329,639.3947754
1685,250,0.9974435,1634.975342,204.4089356,30.50735092,-39.88478851,639.3239136
1690,250,0.99802327,1640.009888,204.6042786,30.803442,-39.88011169,639.2497559
1695,250,0.99805045,1645.071899,204.8008575,31.09921455,-39.87513351,639.1712647
1700,250,0.99825078,1650.107666,205.0002747,31.39519119,-39.87030411,639.0964356
1705,250,0.99814326,1655.086914,205.221756,31.69143295,-39.86528778,639.0297852
1710,250,0.99632937,1660.133545,205.361145,31.98707008,-39.86211395,638.9528198
1715,250,0.99745661,1665.140015,205.5561523,32.28292084,-39.8576088,638.8815308
1720,250,0.99727833,1670.089478,205.6946411,32.57909393,-39.85531998,638.8186646
1725,250,0.99797803,1675.088379,205.8930512,32.87488556,-39.85076141,638.7481079
1730,250,0.99757713,1680.087769,206.1215515,33.17061996,-39.84527206,638.6772461
1735,250,0.99741763,1685.131348,206.3705597,33.46593094,-39.83873367,638.5992432
1740,250,0.99831837,1690.075439,206.5664978,33.7619133,-39.83470535,638.5363159
