x,y,u,v,u0,v0,ZNCC,iteration,convergence,feature,exx,eyy,exy
146,408,-0.41671127,-3.41965079,0,-3,0.99717218,4,0.0007106,0,-0.00236115,-0.00307912,0.00060573
148,408,-0.41967574,-3.41837096,0,-3,0.99711537,4,0.0008844,0,-0.00247321,-0.00297991,0.00083478
150,408,-0.42453632,-3.41791654,0,-3,0.99701959,4,0.00070786,0,-0.00246063,-0.00185115,0.00066105
152,408,-0.42927557,-3.41605544,0,-3,0.99683988,4,0.00050275,0,-0.00235425,-0.00074519,0.00043819
154,408,-0.43470514,-3.41164565,0,-3,0.99670124,4,0.00030358,0,-0.00226079,0.00027468,0.00022979
156,408,-0.43738079,-3.40831661,0,-3,0.99656171,4,0.00057722,0,-0.00221805,0.00032544,0.0003143
158,408,-0.44271675,-3.40231872,0,-3,0.99644583,4,0.00056016,0,-0.00216798,0.00038764,0.00041161
160,408,-0.44583151,-3.396492,0,-3,0.99626261,4,0.00038842,0,-0.00209437,0.00046014,0.0005072
162,408,-0.45016113,-3.3927989,0,-3,0.99625289,4,0.00051534,0,-0.00204206,0.00053883,0.00061406
164,408,-0.45335472,-3.38666511,0,-3,0.99589396,4,0.00063204,0,-0.00199021,0.00062937,0.00071138
166,408,-0.45524356,-3.38006663,0,-3,0.99564624,4,0.00082749,0,-0.00195375,0.00072496,0.00081063
168,408,-0.45945555,-3.37255692,0,-3,0.99526876,4,0.00081329,0,-0.00191144,0.00083093,0.00091758
170,408,-0.46250266,-3.36473775,0,-3,0.99478966,5,0.00042436,0,-0.00186899,0.00094465,0.00101467
172,408,-0.47027034,-3.35467768,0,-3,0.99427384,5,0.00048242,0,-0.00184029,0.00107298,0.00110674
174,408,-0.47003755,-3.34646845,0,-3,0.99409288,5,0.0003474,0,-0.00182048,0.0012086,0.00120005
176,408,-0.4737632,-3.33715248,0,-3,0.99392021,5,0.00023092,0,-0.00179381,0.001354,0.00127862
178,408,-0.4747943,-3.32985473,0,-3,0.99360871,5,0.00032838,0,-0.00178566,0.00150465,0.00135176
180,408,-0.48000899,-3.31884718,0,-3,0.99338353,5,0.00021444,0,-0.00178177,0.00165653,0.00141567
182,408,-0.48444089,-3.30826068,0,-3,0.99316919,4,0.00075678,0,-0.00177712,0.00181207,0.00146008
