x,y,u,ux,uy,v,vx,vy
62,262,-0.40536523,-0.0005163,0.00099844,-3.49668407,-0.00066043,0.00333309
64,262,-0.40583512,-0.00047088,0.00099672,-3.49681807,-0.00054322,0.0032593
66,262,-0.40388289,-0.00012708,0.00127062,-3.49973607,-0.00069328,0.00313199
68,262,-0.40456936,0.00001991,0.00128716,-3.5020535,-0.00066337,0.00310588
70,262,-0.405173,-0.00042593,0.00101197,-3.50577378,-0.00063628,0.00294828
72,262,-0.40705094,-0.00012827,0.00103717,-3.50718641,-0.00091111,0.00312388
74,262,-0.40554249,-0.00029957,0.00073164,-3.5056963,-0.00094332,0.00286579
76,262,-0.40860471,-0.00023025,0.00073142,-3.50800848,-0.00099484,0.00276053
78,262,-0.41108501,-0.00032318,0.00058101,-3.51040435,-0.00108491,0.00259066
80,262,-0.40902886,-0.00043905,0.00058369,-3.51094389,-0.00107464,0.00245023
82,262,-0.41051728,-0.00041878,0.00038097,-3.51334977,-0.00114185,0.00247073
84,262,-0.41053641,-0.00029403,0.00042865,-3.51394725,-0.00102414,0.00226855
86,262,-0.41143578,-0.00044489,0.00036765,-3.51661086,-0.00114646,0.0021857
88,262,-0.41318879,-0.00047147,0.00031888,-3.5176487,-0.00114419,0.00214815
90,262,-0.41497695,-0.00094396,0.00019247,-3.51915812,-0.00093336,0.00216544
92,262,-0.41736352,-0.000732,0.00014526,-3.5198493,-0.00027506,0.00199902
94,262,-0.41611168,-0.00083739,0.00042211,-3.52111959,-0.00047974,0.00203419
96,262,-0.41800326,-0.00109071,0.00027455,-3.52471972,-0.00028857,0.00170887
98,262,-0.42149222,-0.00053179,0.00011349,-3.52524495,-0.00037215,0.00169003
100,262,-0.42228806,-0.00056428,0.00009884,-3.52750063,-0.00066227,0.00155544
102,262,-0.42001042,-0.0003342,0.00012414,-3.52898693,-0.00085999,0.0014565
104,262,-0.42181754,-0.00023645,0.00040202,-3.52833509,-0.00072403,0.00150931
106,262,-0.42248523,-0.00009114,0.00024584,-3.52931786,-0.00075764,0.00143826
108,262,-0.42277658,-0.00002223,0.00025387,-3.53280354,-0.00062002,0.00147974
110,262,-0.42223695,-0.00009429,0.00018195,-3.5332396,-0.00049047,0.00161815
112,262,-0.42190671,-0.00021899,0.00032265,-3.53312373,-0.00043795,0.00162423
114,262,-0.4246113,0.00000274,0.00016213,-3.53392887,-0.00064596,0.00167954
116,262,-0.42751139,-0.00041741,0.00057183,-3.53354812,-0.00031102,0.00144792
118,262,-0.42842168,-0.00024921,0.00036843,-3.53425527,-0.00029271,0.00157952
120,262,-0.4276695,-0.00039256,0.00044396,-3.53433251,-0.00023607,0.00153947
122,262,-0.42733297,-0.00033784,0.00033978,-3.53747034,-0.00019371,0.00179029
124,262,-0.4296667,-0.00050223,0.00028022,-3.54108644,-0.00046795,0.00191963
126,262,-0.42729697,-0.00017476,0.00019822,-3.54215097,-0.00048139,0.00184298
128,262,-0.42685202,-0.0003556,-0.00001629,-3.54052353,-0.00030942,0.00169408
130,262,-0.42697507,-0.00025916,0.00001369,-3.54191041,-0.00025714,0.00201118
132,262,-0.42606327,-0.00022429,0.00011854,-3.54242516,-0.00029545,0.00204468
134,262,-0.42931953,0.00000811,0.00003216,-3.54278135,-0.00073904,0.00205553
136,262,-0.43097243,-0.0000363,0.00024221,-3.54363537,-0.00062716,0.00216329
138,262,-0.42882505,0.00024104,0.00009649,-3.54452586,-0.00026949,0.0023222
140,262,-0.43423447,-0.00077164,-0.00016951,-3.54467201,-0.00039683,0.00234509
